date ,session,time,pair,rr,result,direction,profit,loss,liquidity,screenshot,swp_bfr_ott,year,month
13.06.2023,NY am,10:41:00,SP500,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/13-06-2023-1105d916904080e08226e8d63572ab88?pvs=4,,2023,6
14.06.2023,NY am,10:27:00,SP500,,SL,short,,200,during OTT,https://glaze-deer-019.notion.site/14-06-2023-1105d916904080d79cb6de83a4ce8dae?pvs=4,,2023,6
15.06.2023,NY am,10:52:00,NAS100,,BE,short,,,during OTT,https://glaze-deer-019.notion.site/15-06-2023-10a5d916904080c3b6e0c77dedf9200b?pvs=4,,2023,6
16.06.2023,London,03:23:00,NAS100,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/16-06-2023-1145d9169040805798f6fe6cb8d9f661?pvs=4,,2023,6
19.06.2023,London,03:07:00,NAS100,"1,6",TP,long,320,,during OTT,https://glaze-deer-019.notion.site/19-06-2023-1145d916904080c4b945e50ff9700c0a?pvs=4,,2023,6
20.06.2023,London,03:42:00,NAS100,,SL,short,,200,during OTT,https://glaze-deer-019.notion.site/20-06-2023-1145d91690408056ae63c983d0a348ac?pvs=4,,2023,6
23.06.2023,London,03:03:00,NAS100,,SL,short,,200,before OTT,https://glaze-deer-019.notion.site/23-06-2023-1145d916904080ed9a47efe53610146f?pvs=4,yes,2023,6
26.06.2023,NY am,10:13:00,SP500,"2,7",TP,short,550,,before OTT,https://glaze-deer-019.notion.site/26-06-2023-1105d9169040804588fece4cc8a7cddb?pvs=4,,2023,6
27.06.2023,NY am,10:53:00,NAS100,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/27-06-2023-ca9eddff62014aab9436c0ec3bb681bf?pvs=4,,2023,6
29.06.2023,London,03:22:00,NAS100,,SL,short,,200,during OTT,https://glaze-deer-019.notion.site/29-06-2023-1145d916904080c899a4e0cd37fe81d5?pvs=4,,2023,6
06.07.2023,London,03:37:00,NAS100,"2,15",TP,long,430,,before OTT,https://glaze-deer-019.notion.site/06-07-2023-1155d91690408066aeb9ffbc120572a2?pvs=4,,2023,7
07.07.2023,NY am,10:57:00,NAS100,,SL,short,,200,during OTT,https://glaze-deer-019.notion.site/07-07-2023-10c5d9169040809f9a42f52b34859ee4?pvs=4,,2023,7
20.07.2023,NY am,10:14:00,NAS100,,SL,long,,200,before OTT,https://glaze-deer-019.notion.site/20-07-2023-10c5d91690408034aba6cdf63f4c8a8e?pvs=4,,2023,7
24.07.2023,NY am,10:58:00,NAS100,,SL,long,,200,during OTT,https://glaze-deer-019.notion.site/24-07-2023-10c5d91690408043b1e6f3e4da52a2ae?pvs=4,,2023,7
02.08.2023,NY am,10:00:00,NAS100,,SL,long,,200,before OTT,https://glaze-deer-019.notion.site/02-08-2023-10c5d9169040804fb06edbaf27880d15?pvs=4,yes,2023,8
03.08.2023,NY am,10:59:00,SP500,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/03-08-2023-1105d91690408092b7dfe7ec5175d08d?pvs=4,,2023,8
07.08.2023,NY am,10:39:00,NAS100,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/07-08-2023-10c5d9169040808fb162dc6d988518e5?pvs=4,,2023,8
07.08.2023,NY am,10:49:00,NAS100,"2,7",TP,short,543,,before OTT,https://glaze-deer-019.notion.site/07-08-2023-1-10c5d9169040801cbdf0d5bab4f14292?pvs=4,,2023,8
08.08.2023,NY am,10:05:00,NAS100,,SL,long,,200,before OTT,https://glaze-deer-019.notion.site/08-08-2023-10c5d916904080988840e1d69bfbb3dd?pvs=4,,2023,8
09.08.2023,London,03:25:00,NAS100,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/09-08-2023-1155d916904080aaaa9ee455cf4fd9e8?pvs=4,,2023,8
14.08.2023,NY am,10:30:00,NAS100,,SL,short,,200,before OTT,https://glaze-deer-019.notion.site/14-08-2023-10c5d916904080b38d9eeac0303291b1?pvs=4,,2023,8
18.08.2023,NY am,10:28:00,NAS100,"1,6",TP,long,320,,during OTT,https://glaze-deer-019.notion.site/18-08-2023-10d5d9169040805f8143ed63fc436a8e?pvs=4,,2023,8
18.08.2023,NY am,10:30:00,SP500,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/18-08-2023-1105d9169040800bac49ce3dfe6519cd?pvs=4,,2023,8
18.08.2023,London,03:48:00,NAS100,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/18-08-2023-1155d916904080c29b42c35af4884bcf?pvs=4,,2023,8
05.09.2023,NY am,10:15:00,NAS100,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/05-09-2023-10d5d9169040806699d3ecd002830e59?pvs=4,,2023,9
07.09.2023,London,03:07:00,NAS100,,SL,long,,200,before OTT,https://glaze-deer-019.notion.site/07-09-2023-1155d916904080f89e6bd50f752953a7?pvs=4,,2023,9
14.09.2023,NY am,10:26:00,NAS100,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/14-09-2023-10d5d91690408079bea6de1156e0f545?pvs=4,,2023,9
14.09.2023,NY am,10:25:00,SP500,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/14-09-2023-1105d91690408003a58be99de82efb66?pvs=4,,2023,9
18.09.2023,NY am,10:56:00,NAS100,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/18-09-2023-10d5d9169040800896f5edd1d5178dd9?pvs=4,,2023,9
